NPV_a,NPV_b,PreyDeficit,PredatorDeficit
0.8,17.0,56.00000000000001,29.4
28.799999999999997,100.0,51.0,5.2
67.60000000000001,39.6,38.800000000000004,6.4
48.0,100.0,48.0,8.200000000000001
31.6,0.0,50.4,29.799999999999997
55.800000000000004,0.0,46.400000000000006,11.799999999999999
79.0,100.0,28.000000000000004,1.6
0.0,0.0,58.199999999999996,47.4
0.0,11.600000000000001,58.4,37.6
2.1999999999999997,65.0,54.800000000000004,14.6
0.0,0.0,59.599999999999994,47.8
0.0,31.8,63.6,50.0
0.0,0.0,59.8,51.2
0.0,100.0,66.0,12.6
77.0,4.3999999999999995,29.799999999999997,7.6
0.0,60.199999999999996,65.8,28.000000000000004
50.0,0.0,45.4,17.0
0.0,0.0,57.4,41.0
52.0,21.4,44.800000000000004,11.4
54.800000000000004,0.0,43.2,16.400000000000002
37.6,78.4,50.0,11.799999999999999
40.8,100.0,49.0,8.799999999999999
24.6,100.0,51.6,4.6
0.0,0.0,59.8,51.800000000000004
42.8,1.7999999999999998,47.4,15.6
0.0,64.8,62.2,19.6
31.4,0.0,50.4,27.6
0.0,100.0,62.8,10.4
0.8,0.0,56.2,43.2
0.0,59.8,61.8,24.4
50.4,0.0,45.6,16.8
0.0,100.0,61.4,10.8
15.0,0.0,51.4,32.4
15.4,0.0,51.6,34.4
90.4,100.0,8.6,0.0
0.0,100.0,64.60000000000001,9.4
0.8,0.0,56.00000000000001,39.800000000000004
1.7999999999999998,0.0,55.00000000000001,39.2
19.2,0.0,51.0,35.4
0.0,68.4,59.8,17.8
32.800000000000004,0.0,50.2,28.799999999999997
63.4,100.0,42.4,1.7999999999999998
29.599999999999998,0.0,49.8,29.599999999999998
24.0,0.0,50.4,32.800000000000004
16.6,0.0,51.4,37.0
74.4,100.0,41.199999999999996,1.2
52.2,17.0,43.8,11.799999999999999
48.8,39.6,46.6,11.4
0.0,0.0,60.199999999999996,52.6
0.0,19.6,61.199999999999996,48.8
1.6,100.0,59.199999999999996,10.6
0.0,100.0,62.2,10.8
6.800000000000001,0.0,54.6,39.800000000000004
9.0,0.0,52.0,40.2
3.2,0.0,55.400000000000006,40.6
90.8,100.0,3.4000000000000004,0.0
25.6,100.0,50.2,6.6000000000000005
63.800000000000004,22.2,42.8,8.0
0.0,18.2,61.0,48.0
80.4,25.8,23.400000000000002,6.0
0.0,0.0,59.8,51.6
53.2,90.8,46.2,8.6
0.6,92.0,58.599999999999994,15.0
52.6,100.0,48.6,5.6000000000000005
0.0,0.6,59.4,44.6
69.19999999999999,5.800000000000001,38.4,7.3999999999999995
57.599999999999994,12.2,40.400000000000006,11.200000000000001
87.4,100.0,28.799999999999997,1.4000000000000001
19.2,33.800000000000004,49.4,17.8
0.0,0.0,58.4,48.4
38.6,3.5999999999999996,48.6,17.4
79.0,53.6,26.0,3.8
13.8,25.0,51.4,21.8
2.8000000000000003,27.200000000000003,53.2,25.2
77.2,100.0,31.0,2.0
33.4,0.0,49.4,24.0
5.6000000000000005,0.0,54.6,42.199999999999996
0.0,51.0,58.599999999999994,26.400000000000002
79.0,100.0,42.6,2.1999999999999997
0.0,0.0,59.8,51.0
55.00000000000001,0.0,43.0,13.4
38.6,65.4,47.8,9.4
76.0,7.3999999999999995,31.6,5.4
3.2,100.0,54.400000000000006,10.2
0.0,15.6,60.0,46.6
33.0,0.0,50.2,24.6
1.7999999999999998,100.0,55.800000000000004,13.8
3.5999999999999996,0.0,52.800000000000004,28.599999999999998
8.799999999999999,41.4,52.800000000000004,19.0
0.6,0.0,56.00000000000001,38.0
0.0,100.0,60.8,11.4
13.600000000000001,0.0,51.6,37.6
18.4,0.0,51.6,37.6
5.800000000000001,0.0,52.6,32.6
27.800000000000004,100.0,52.0,10.4
0.0,0.0,62.0,57.4
1.6,27.400000000000002,54.2,27.200000000000003
32.4,0.0,50.4,26.400000000000002
54.6,0.0,43.0,14.399999999999999
0.0,0.0,62.0,56.2
0.4,0.0,56.00000000000001,36.199999999999996
0.0,53.2,60.0,29.2
0.0,11.0,62.6,52.400000000000006
0.0,100.0,62.4,12.6
80.2,100.0,10.0,5.2
42.6,0.0,47.599999999999994,20.4
26.6,0.0,50.2,32.2
14.6,37.4,51.2,18.6
0.0,0.0,57.199999999999996,44.4
0.0,0.0,59.8,52.800000000000004
0.0,56.2,65.2,34.8
0.8,100.0,55.400000000000006,10.6
22.8,75.0,51.0,10.4
25.2,0.0,50.4,29.4
0.0,0.0,60.4,54.0
0.0,100.0,62.2,12.2
48.4,2.0,46.0,13.600000000000001
0.0,100.0,68.0,10.2
47.599999999999994,0.0,47.0,15.0
64.60000000000001,100.0,39.2,7.6
6.2,100.0,55.400000000000006,9.6
0.0,0.0,59.199999999999996,47.199999999999996
0.0,0.0,57.199999999999996,42.8
0.0,0.6,59.599999999999994,44.6
17.8,100.0,51.2,9.6
0.8,0.0,56.2,40.0
51.4,0.0,44.4,18.6
0.0,0.0,57.4,45.2
0.0,16.6,59.8,45.4
26.400000000000002,0.0,50.2,31.2
0.0,59.0,66.0,31.2
45.0,4.3999999999999995,46.800000000000004,13.4
0.0,0.0,58.199999999999996,44.2
10.8,0.0,52.2,36.6
0.0,0.0,59.8,52.2
0.0,0.8,60.0,48.4
72.39999999999999,93.8,34.8,2.4
0.0,22.8,60.199999999999996,46.6
7.199999999999999,83.2,56.599999999999994,8.6
0.0,0.0,60.199999999999996,54.400000000000006
0.0,12.2,62.4,51.6
0.0,52.6,60.0,31.6
0.0,82.39999999999999,59.4,15.2
12.4,43.0,52.2,21.6
8.6,100.0,53.400000000000006,9.6
87.2,100.0,21.8,1.7999999999999998
66.8,28.599999999999998,43.2,8.6
51.800000000000004,100.0,46.0,9.8
