vars,NPV_a,NPV_b,PreyDeficit,PredatorDeficit
"[0.6470147779590227, 0.5621456479974405, 0.619200140330995, 0.7659289871051012, 0.19283727229949046, 0.6878354661799666, 0.8024706223001583, 0.2419409636474744, 0.6493534087758259, 1.0, 0.6911920244958866, 0.10665158336121543]",3995.3695564715345,74.8874907648392,0.2950395342888367,0.4523443124120787
"[0.9348687148219952, 0.31877586415442855, 0.0, 0.8340995763650578, 0.28767096383874147, 0.8783914392039118, 0.5144060153549396, 0.19653717995166137, 0.9061988671737555, 0.9357307957090701, 0.21366720676698328, 0.6534627092785764]",8.468133374228545,3.008397592841054,0.04931934689901702,0.03140020777470074
"[0.6338992648937498, 0.9361824091821267, 0.44400404131151117, 0.8744285782606123, 0.4032531703557495, 0.8675144537374839, 0.7494914500722756, 0.3269935665662356, 0.7600943588453954, 0.6063285244542427, 0.25737990347724193, 0.5605762683963098]",3951.08866461723,94.96106413507815,0.2917320257439907,0.48581583252201116
"[0.7821257796479262, 0.8763047192544207, 0.0, 0.1755702259968503, 0.0, 0.6064435456645302, 0.7558421429098202, 0.636724393319026, 0.7080770913219866, 0.7312964845289797, 0.6637678964198492, 0.4321633378983627]",0.0,274.3038763396701,0.03976724818182695,0.5396336797178704
"[0.7194193936892878, 0.004063420653547978, 0.1532857644618485, 0.5521487317789034, 0.4115744048233831, 0.5729351910994542, 0.3236659189974853, 0.5724076058996347, 0.811178068863805, 0.3867504770037494, 0.4132251546685779, 0.722687650207287]",1215.1582963311628,318.5036784424676,0.09313018810149261,0.679522798171937
"[0.8010804411941492, 0.6298738921351028, 0.23350890604952346, 0.5984867678323935, 0.35524439297316784, 0.765146757823681, 0.7272665604179447, 0.6460836502859653, 0.6171361534398996, 0.32166040244325866, 0.315705495364455, 0.4741782365199294]",1196.056919667528,285.7798252427151,0.08792846751479756,0.5971528359695798
"[0.5766990657742245, 0.724554790605433, 0.9859446515129782, 0.3566539841696307, 0.05206794417581295, 0.7642306169949987, 0.4866670137289094, 0.15517425117822137, 0.5587220782679388, 0.646930816178561, 0.932273983105229, 0.18112314062047163]",2789.501456619589,234.7341247847113,0.23164382199297406,0.6019745771986708
"[0.7296434422175463, 0.6598565115355803, 0.12629722334983548, 0.7549848847933863, 0.7894138376779811, 0.4880306466586304, 0.09925838550482635, 0.964152345992529, 0.46472816566554054, 0.5926831856282476, 0.22368851322850447, 0.7987627674976037]",2767.286157212885,266.79151572776095,0.2548014357372893,0.6844770011973329
"[0.5717411941212915, 0.6778460205427764, 0.5837648252684481, 0.9113804211408164, 0.952428559762936, 0.6404033621461884, 0.7305433074247171, 0.5498128644719302, 0.15060800057375312, 0.013299342651358945, 0.27485618831144987, 0.799073315963889]",2701.199414200022,287.35933005574674,0.24833435599154485,0.7207599141522313
"[0.986817867103628, 0.6785778006656454, 0.7099480521579722, 0.39108302821308283, 0.2777924937046985, 0.26949364764726524, 0.24945482386942766, 1.0, 0.5242321203144531, 0.3863777508367875, 0.7330077440877092, 0.06490552078227949]",1057.866739380129,335.3289285612367,0.08002988339591141,0.7274452885167205
