NPV_a,NPV_b,PreyDeficit,PredatorDeficit,NPV_a and Prey Def.,NPV_b and Predator Def.,NPV_a and NPV_b,All criteria
0.0,27.6,62.2,49.2,0.0,27.200000000000003,0.0,0.0
0.0,96.2,59.0,15.8,0.0,15.8,0.0,0.0
2.1999999999999997,0.0,54.6,36.0,2.0,0.0,0.0,0.0
8.4,0.0,53.400000000000006,38.800000000000004,7.8,0.0,0.0,0.0
95.6,100.0,8.4,0.0,8.4,0.0,95.6,0.0
0.4,0.0,56.2,41.4,0.4,0.0,0.0,0.0
0.0,0.0,57.4,44.6,0.0,0.0,0.0,0.0
67.4,100.0,40.8,2.1999999999999997,27.200000000000003,2.1999999999999997,67.4,0.0
0.6,0.0,56.39999999999999,41.6,0.6,0.0,0.0,0.0
0.0,100.0,60.199999999999996,12.4,0.0,12.4,0.0,0.0
2.8000000000000003,67.4,54.2,14.399999999999999,0.8,14.399999999999999,2.8000000000000003,0.0
9.8,0.0,53.0,37.8,8.799999999999999,0.0,0.0,0.0
32.800000000000004,0.0,50.2,27.200000000000003,25.4,0.0,0.0,0.0
0.0,0.0,59.599999999999994,50.4,0.0,0.0,0.0,0.0
88.8,100.0,11.600000000000001,0.6,11.600000000000001,0.6,88.8,0.0
0.4,0.0,56.2,40.6,0.4,0.0,0.0,0.0
0.0,56.8,62.4,31.6,0.0,31.6,0.0,0.0
75.2,100.0,30.2,5.800000000000001,29.2,5.800000000000001,75.2,0.0
95.39999999999999,100.0,8.4,0.0,8.4,0.0,95.39999999999999,0.0
0.0,71.6,60.0,21.0,0.0,21.0,0.0,0.0
0.0,0.0,58.4,45.0,0.0,0.0,0.0,0.0
60.8,48.199999999999996,43.8,7.8,32.2,7.8,23.200000000000003,0.0
55.60000000000001,14.2,41.199999999999996,11.200000000000001,31.8,1.2,3.2,0.0
45.2,13.600000000000001,47.4,12.2,29.4,3.5999999999999996,3.0,0.0
22.0,0.0,50.8,35.6,19.8,0.0,0.0,0.0
93.8,63.4,21.8,0.6,21.8,0.6,57.199999999999996,0.0
8.4,100.0,53.2,9.6,1.6,9.6,8.4,0.0
19.8,0.0,51.4,36.0,18.4,0.0,0.0,0.0
0.2,66.8,58.8,17.2,0.2,17.2,0.2,0.2
