NPV_a,NPV_b,PreyDeficit,PredatorDeficit,NPV_a and Prey Def.,NPV_b and Predator Def.,NPV_a and NPV_b,All criteria
0.0,100.0,61.0,15.4,0.0,15.4,0.0,0.0
59.8,67.60000000000001,40.2,9.2,27.400000000000002,9.2,39.0,0.0
1.0,54.2,58.599999999999994,23.200000000000003,1.0,23.200000000000003,1.0,0.0
0.0,100.0,61.6,17.2,0.0,17.2,0.0,0.0
0.0,0.0,61.199999999999996,45.800000000000004,0.0,0.0,0.0,0.0
45.800000000000004,0.0,46.0,21.0,27.400000000000002,0.0,0.0,0.0
56.2,100.0,44.2,8.200000000000001,28.999999999999996,8.200000000000001,56.2,0.0
0.0,52.2,63.0,40.2,0.0,40.0,0.0,0.0
0.0,100.0,61.8,12.4,0.0,12.4,0.0,0.0
68.4,22.0,36.4,7.199999999999999,30.0,2.0,10.2,0.0
0.0,36.4,61.8,40.8,0.0,33.4,0.0,0.0
27.6,65.4,50.6,12.8,14.6,12.8,22.400000000000002,0.0
44.6,100.0,49.4,7.6,21.4,7.6,44.6,0.0
47.199999999999996,39.4,45.4,13.0,27.800000000000004,13.0,10.6,0.0
96.39999999999999,100.0,0.0,0.0,0.0,0.0,96.39999999999999,0.0
0.8,13.4,58.599999999999994,33.4,0.8,13.200000000000001,0.2,0.2
24.4,0.0,51.0,34.2,21.2,0.0,0.0,0.0
17.8,30.8,52.0,23.599999999999998,14.6,19.0,0.8,0.2
12.8,47.199999999999996,52.800000000000004,21.4,10.2,21.4,4.3999999999999995,0.0
18.0,3.2,51.800000000000004,25.8,15.0,2.6,0.0,0.0
0.0,100.0,66.8,11.200000000000001,0.0,11.200000000000001,0.0,0.0
0.0,0.0,61.6,45.2,0.0,0.0,0.0,0.0
25.8,1.2,51.2,22.0,20.4,0.4,0.0,0.0
56.00000000000001,100.0,46.0,1.2,19.6,1.2,56.00000000000001,0.0
0.0,0.0,62.2,51.4,0.0,0.0,0.0,0.0
68.4,41.4,37.8,6.0,30.0,6.0,23.0,0.0
36.4,0.0,47.599999999999994,28.000000000000004,24.8,0.0,0.0,0.0
71.8,100.0,38.4,3.0,30.0,3.0,71.8,0.0
24.6,0.0,49.8,34.2,20.200000000000003,0.0,0.0,0.0
57.8,100.0,47.8,1.2,22.6,1.2,57.8,0.0
71.0,18.6,36.0,6.2,30.2,1.4000000000000001,10.4,0.0
3.5999999999999996,84.39999999999999,59.599999999999994,11.4,0.2,11.4,3.5999999999999996,0.2
0.0,0.0,61.4,45.2,0.0,0.0,0.0,0.0
50.2,0.0,43.2,20.0,28.599999999999998,0.0,0.0,0.0
57.8,100.0,46.400000000000006,2.1999999999999997,23.799999999999997,2.1999999999999997,57.8,0.0
0.0,40.6,64.2,48.4,0.0,37.8,0.0,0.0
0.0,0.0,63.800000000000004,61.0,0.0,0.0,0.0,0.0
0.0,0.0,63.2,59.199999999999996,0.0,0.0,0.0,0.0
36.6,64.60000000000001,48.6,11.200000000000001,18.0,11.200000000000001,26.8,0.0
1.2,100.0,58.599999999999994,15.4,0.8,15.4,1.2,0.0
51.0,100.0,47.8,7.8,25.2,7.8,51.0,0.0
91.0,100.0,5.0,1.2,5.0,1.2,91.0,0.0
0.0,64.60000000000001,61.0,19.6,0.0,19.6,0.0,0.0
68.2,100.0,41.6,2.4,30.8,2.4,68.2,0.0
27.400000000000002,0.0,49.6,32.6,21.4,0.0,0.0,0.0
18.2,0.0,52.2,36.8,16.6,0.0,0.0,0.0
19.400000000000002,0.0,52.6,36.0,17.599999999999998,0.0,0.0,0.0
93.0,100.0,0.0,0.6,0.0,0.6,93.0,0.0
0.0,0.0,62.6,53.400000000000006,0.0,0.0,0.0,0.0
14.399999999999999,0.0,53.6,38.4,13.200000000000001,0.0,0.0,0.0
0.0,0.2,61.6,46.800000000000004,0.0,0.2,0.0,0.0
67.80000000000001,0.0,37.8,9.4,30.0,0.0,0.0,0.0
0.0,0.0,61.6,49.2,0.0,0.0,0.0,0.0
94.8,100.0,7.000000000000001,0.0,7.000000000000001,0.0,94.8,0.0
0.0,98.4,64.0,18.4,0.0,18.4,0.0,0.0
0.0,44.0,65.2,49.4,0.0,41.0,0.0,0.0
3.4000000000000004,100.0,58.599999999999994,10.6,1.0,10.6,3.4000000000000004,0.0
63.0,100.0,38.2,1.0,26.400000000000002,1.0,63.0,0.0
0.0,100.0,62.4,15.0,0.0,15.0,0.0,0.0
93.60000000000001,100.0,9.8,0.2,9.8,0.2,93.60000000000001,0.0
0.0,53.6,65.4,44.4,0.0,44.0,0.0,0.0
5.4,56.99999999999999,56.2,20.0,4.2,20.0,4.8,0.2
60.0,24.6,42.0,10.8,29.799999999999997,6.2,11.0,0.0
95.19999999999999,56.8,16.400000000000002,0.0,16.400000000000002,0.0,52.0,0.0
9.6,59.0,53.2,17.4,6.6000000000000005,17.4,8.200000000000001,0.0
56.599999999999994,100.0,32.4,1.2,8.4,1.2,56.599999999999994,0.0
0.0,100.0,63.6,13.4,0.0,13.4,0.0,0.0
42.4,100.0,48.8,8.6,21.4,8.6,42.4,0.0
46.400000000000006,0.0,45.4,19.400000000000002,27.6,0.0,0.0,0.0
40.8,0.0,46.2,28.599999999999998,27.200000000000003,0.0,0.0,0.0
19.0,0.0,51.800000000000004,37.2,17.2,0.0,0.0,0.0
38.0,22.2,49.0,15.8,24.4,8.200000000000001,4.0,0.0
0.0,10.2,60.6,39.0,0.0,10.2,0.0,0.0
0.0,5.2,60.8,40.2,0.0,5.2,0.0,0.0
0.0,0.0,61.4,49.2,0.0,0.0,0.0,0.0
9.0,23.599999999999998,52.800000000000004,24.0,6.800000000000001,15.2,0.6,0.0
0.0,50.2,61.0,29.799999999999997,0.0,29.799999999999997,0.0,0.0
11.600000000000001,100.0,59.0,5.800000000000001,0.2,5.800000000000001,11.600000000000001,0.0
0.2,100.0,60.199999999999996,14.2,0.0,14.2,0.2,0.0
0.0,0.0,61.199999999999996,46.2,0.0,0.0,0.0,0.0
86.8,98.2,20.4,1.2,20.0,1.2,85.0,0.0
56.599999999999994,100.0,43.6,2.8000000000000003,20.0,2.8000000000000003,56.599999999999994,0.0
0.0,59.599999999999994,62.6,26.0,0.0,26.0,0.0,0.0
0.0,100.0,63.0,13.0,0.0,13.0,0.0,0.0
0.0,100.0,64.0,14.000000000000002,0.0,14.000000000000002,0.0,0.0
0.0,71.2,64.2,23.799999999999997,0.0,23.799999999999997,0.0,0.0
77.0,100.0,28.999999999999996,2.6,26.200000000000003,2.6,77.0,0.0
12.2,100.0,10.8,11.799999999999999,2.6,11.799999999999999,12.2,0.0
0.0,0.0,63.2,58.4,0.0,0.0,0.0,0.0
78.8,1.7999999999999998,27.0,4.8,25.0,0.0,1.7999999999999998,0.0
67.80000000000001,79.80000000000001,39.0,5.6000000000000005,30.599999999999998,5.6000000000000005,50.2,0.0
54.800000000000004,0.0,40.2,18.2,29.599999999999998,0.0,0.0,0.0
47.599999999999994,0.0,46.0,15.4,27.400000000000002,0.0,0.0,0.0
32.0,0.0,48.6,32.6,24.8,0.0,0.0,0.0
29.799999999999997,100.0,52.800000000000004,7.6,12.0,7.6,29.799999999999997,0.0
28.4,0.0,49.6,33.800000000000004,22.0,0.0,0.0,0.0
39.0,35.4,45.800000000000004,16.8,24.4,14.6,4.3999999999999995,0.0
8.799999999999999,0.0,54.2,37.2,8.0,0.0,0.0,0.0
2.1999999999999997,0.0,57.8,42.0,2.1999999999999997,0.0,0.0,0.0
43.6,100.0,50.8,5.0,18.4,5.0,43.6,0.0
1.4000000000000001,100.0,60.8,11.600000000000001,0.2,11.600000000000001,1.4000000000000001,0.0
10.0,0.0,54.0,33.2,9.2,0.0,0.0,0.0
0.0,0.0,61.6,49.8,0.0,0.0,0.0,0.0
46.400000000000006,0.0,45.800000000000004,19.6,28.4,0.0,0.0,0.0
55.2,85.39999999999999,42.199999999999996,3.8,25.8,3.8,46.2,0.0
11.0,0.0,53.6,39.2,10.4,0.0,0.0,0.0
40.2,0.0,47.4,21.4,27.6,0.0,0.0,0.0
23.599999999999998,64.2,50.8,14.799999999999999,13.8,14.799999999999999,16.400000000000002,0.0
0.0,0.0,63.2,59.0,0.0,0.0,0.0,0.0
75.6,100.0,4.0,2.8000000000000003,3.4000000000000004,2.8000000000000003,75.6,0.0
33.800000000000004,100.0,10.6,10.6,5.0,10.6,33.800000000000004,0.0
0.0,100.0,31.0,9.8,0.0,9.8,0.0,0.0
39.800000000000004,48.0,49.4,14.799999999999999,25.6,14.799999999999999,13.4,0.0
1.7999999999999998,59.4,57.4,17.599999999999998,1.0,17.599999999999998,1.7999999999999998,0.0
46.0,100.0,48.6,6.4,21.2,6.4,46.0,0.0
0.0,100.0,63.6,13.0,0.0,13.0,0.0,0.0
0.0,0.0,63.2,58.199999999999996,0.0,0.0,0.0,0.0
56.2,5.0,40.2,14.000000000000002,30.0,0.8,1.0,0.0
61.8,48.8,31.6,6.4,23.599999999999998,6.4,23.0,0.0
61.199999999999996,0.0,38.6,16.400000000000002,30.0,0.0,0.0,0.0
42.4,0.0,47.8,27.400000000000002,28.199999999999996,0.0,0.0,0.0
67.2,57.4,36.0,6.0,28.799999999999997,6.0,34.599999999999994,0.0
8.0,17.599999999999998,53.6,26.200000000000003,6.6000000000000005,13.8,0.4,0.2
15.6,47.0,52.400000000000006,18.0,12.0,18.0,6.0,0.0
0.0,60.199999999999996,62.2,22.6,0.0,22.6,0.0,0.0
21.8,0.0,51.6,31.2,18.6,0.0,0.0,0.0
83.2,100.0,25.4,0.8,23.400000000000002,0.8,83.2,0.0
68.60000000000001,0.0,37.0,10.6,29.4,0.0,0.0,0.0
49.2,100.0,48.199999999999996,7.6,23.599999999999998,7.6,49.2,0.0
18.6,100.0,56.00000000000001,8.799999999999999,6.4,8.799999999999999,18.6,0.0
0.2,0.0,59.4,46.6,0.2,0.0,0.0,0.0
60.199999999999996,7.3999999999999995,43.8,12.0,31.2,1.0,3.5999999999999996,0.0
30.2,56.599999999999994,49.4,14.399999999999999,18.8,14.399999999999999,15.8,0.0
2.0,53.6,56.8,19.6,1.4000000000000001,19.6,2.0,0.0
3.0,0.0,56.00000000000001,34.2,2.8000000000000003,0.0,0.0,0.0
0.0,59.0,64.4,31.6,0.0,31.6,0.0,0.0
0.8,0.0,58.199999999999996,37.2,0.8,0.0,0.0,0.0
0.0,39.4,62.6,42.8,0.0,35.6,0.0,0.0
72.39999999999999,80.60000000000001,33.0,0.4,25.8,0.4,55.60000000000001,0.0
65.60000000000001,5.4,39.800000000000004,8.799999999999999,30.599999999999998,0.4,3.4000000000000004,0.0
33.800000000000004,10.4,49.0,20.200000000000003,24.4,4.2,0.0,0.0
10.4,66.0,55.2,11.799999999999999,3.8,11.799999999999999,10.4,0.0
75.8,100.0,23.200000000000003,1.6,20.0,1.6,75.8,0.0
